cargo,nome empresa,local,link
Técnico Desenvolvimento Testes,RANDSTAD BRASIL RECURSOS HUMANOS LTDA.,,https://br.indeed.com/rc/clk?jk=59f323e01a2b11b0&fccid=f8b265243da9f9d7&vjs=3
Analista de dados (python),Netvagas - (617679818),,https://br.indeed.com/rc/clk?jk=86444ba2cd22f6de&fccid=dd616958bd9ddc12&vjs=3
ANALISTA DESENVOLVEDOR(A) JR - OSASCO,OEmprego,,https://br.indeed.com/rc/clk?jk=75e3442879fab6ed&fccid=919b31f0a22ef58e&vjs=3
Sr Backend Developer - Python - (100% Remoto),invillia,Home office,https://br.indeed.com/rc/clk?jk=e5f1fd1be11df687&fccid=f185a6210cec2dc0&vjs=3
Desenvolvedor Front-end (Python),ALOLA PARTNERS,,https://br.indeed.com/rc/clk?jk=4f69f135708f595c&fccid=17a0d2eb65f89ede&vjs=3
Estágio de Análise de dados,Zallpy Digital,Home office,https://br.indeed.com/rc/clk?jk=e78cfcf56f5b3154&fccid=2ac78f54db705d75&vjs=3
DESENVOLVEDOR BACKEND - PYTHON,DYNAMOX,,https://br.indeed.com/rc/clk?jk=d2363141d993cc02&fccid=91295c637a1951c6&vjs=3
Desenvolvedor(a) Full Stack Javascript Python,Visie Padrões Web,,https://br.indeed.com/rc/clk?jk=e16e20d60442d1ff&fccid=68edc23d19933c87&vjs=3
Estágio Financeiro,SoluCX - Solutions for Customer Experience,Home office,https://br.indeed.com/rc/clk?jk=7017fbf9ad75bec2&fccid=dd616958bd9ddc12&vjs=3
Financial Analyst,Hill's Pet Nutrition,,https://br.indeed.com/rc/clk?jk=85e71ee2b1dc4dc8&fccid=8ffd82d10d56fd60&vjs=3
7 - Data Engineer Python,GeekHunter,,https://br.indeed.com/rc/clk?jk=78db10a9b17e03ec&fccid=9ba8dec3013c0c90&vjs=3
Desenvolvedor Python Pleno,Koopere Cooperativa | Supero Soluções,Home office,https://br.indeed.com/rc/clk?jk=cd1c5cfa50fd17af&fccid=dd616958bd9ddc12&vjs=3
Desenvolvedor Python Pleno,STORMGROUP,Home office,https://br.indeed.com/rc/clk?jk=14ebfcbe3a39988c&fccid=2404d9972c04d23e&vjs=3
Cientista De Dados Sênior,Líder e Gestão,Home office,https://br.indeed.com/rc/clk?jk=43bb822c15e4ccc3&fccid=cd7916227c73e90a&vjs=3
Analista de Dados,Uniprime Central Nacional,,https://br.indeed.com/rc/clk?jk=70be0fa43f10a233&fccid=7f9eff66cc52d649&vjs=3
AGENTE DE ANÁLISE DE DADOS/ EC,GRUPO COMETA,Home office,https://br.indeed.com/rc/clk?jk=2fd137a2b43281d3&fccid=4f7199e47f27ef5f&vjs=3
Python Developer - Work From Home / Ref. 0071E,,Home office,https://br.indeed.com/rc/clk?jk=bb260d21b9439e91&fccid=dd616958bd9ddc12&vjs=3
Cientista de Dados,Genial Investimentos,Home office,https://br.indeed.com/rc/clk?jk=0ac9e27a07bcd342&fccid=d9117a0449c232e9&vjs=3
Desenvolvedor Python - Trabalho Remoto,BairesDev,,https://br.indeed.com/rc/clk?jk=72a57bbe6196bb5d&fccid=29707109e86166e5&vjs=3
Data Analyst,RINA,,https://br.indeed.com/rc/clk?jk=c283706367352cc9&fccid=b8b0cc208d50b31f&vjs=3
Analista de Business Intelligence,Vik Tech and Services,,https://br.indeed.com/rc/clk?jk=da87d0e1f80e2541&fccid=0379ecf46bc19fc9&vjs=3
Data Scientist [Híbrido],4intelligence,Home office,https://br.indeed.com/rc/clk?jk=1cc7eb79f278081e&fccid=cc7dffb3136ae63c&vjs=3
Analista de sistemas Python,Shibata Supermercados,Home office,https://br.indeed.com/rc/clk?jk=be49e18095e6e4ab&fccid=0fdeeac895c82608&vjs=3
Pessoa analista de Desenvolvimento Python,GC Security,,https://br.indeed.com/rc/clk?jk=fd593845636a3dff&fccid=7755eca84fc65636&vjs=3
Desenvolvedor Pleno (Python) (Soluções),Imagem Geosistemas,Home office,https://br.indeed.com/rc/clk?jk=855fd80e69f27df9&fccid=c6440c0bc4677975&vjs=3
Backend Engineer,Brick Abode,Home office,https://br.indeed.com/rc/clk?jk=bbe86cad36d25e59&fccid=106566e4d12a08ba&vjs=3
Analista de Migração de Dados,EASYJUR TECNOLOGIA E SISTEMAS EIRELI,,https://br.indeed.com/rc/clk?jk=c8777cc0462f4232&fccid=dd616958bd9ddc12&vjs=3
Engenheiro de Software Full Stack Sênior,Logcomex,Home office,https://br.indeed.com/rc/clk?jk=f61973cfb5190af3&fccid=be47abca78d46fd7&vjs=3
Financial Analyst,Hill's Pet Nutrition,,https://br.indeed.com/rc/clk?jk=85e71ee2b1dc4dc8&fccid=8ffd82d10d56fd60&vjs=3
Analista de Dados Jr,BOLD,,https://br.indeed.com/rc/clk?jk=be3564fec7c42b34&fccid=b4ae81341320a358&vjs=3
Analista de Geoprocessamento Junior,Vegamonitoramento,Home office,https://br.indeed.com/rc/clk?jk=5669e88612db5ca9&fccid=afe6ace98441dfec&vjs=3
Analista de Dados Jr - Curitiba /PR,BEST WAY TRIPS AGENCIA DE VIAGENS E TURISMO LTDA,,https://br.indeed.com/rc/clk?jk=45b2fd097a28ca93&fccid=26d256b8c4164239&vjs=3
Desenvolvedor Python,VERT,,https://br.indeed.com/rc/clk?jk=7fbc309b904b6e8e&fccid=f272a424be9a126f&vjs=3
DESENVOLVEDOR DE SOFTWARE JR - MANAUS,OEmprego,,https://br.indeed.com/rc/clk?jk=d733c637fcfded10&fccid=919b31f0a22ef58e&vjs=3
Estágio de Análise de dados,Zallpy Digital,Home office,https://br.indeed.com/rc/clk?jk=e78cfcf56f5b3154&fccid=2ac78f54db705d75&vjs=3
Desenvolvedor(a) Sênior Backend - Python/Django,OMNI SAÚDE,Home office,https://br.indeed.com/rc/clk?jk=472aa6534e66a1da&fccid=5a5f6d861cb2d364&vjs=3
Flashlight - Programa de Estágio,INDICIUM,,https://br.indeed.com/rc/clk?jk=829eb6d22f18cb9c&fccid=809941c6e8c5262b&vjs=3
DESENVOLVEDOR DE SOFTWARE JR - MANAUS,OEmprego,,https://br.indeed.com/rc/clk?jk=d733c637fcfded10&fccid=919b31f0a22ef58e&vjs=3
Flashlight - Programa de Estágio,INDICIUM,,https://br.indeed.com/rc/clk?jk=829eb6d22f18cb9c&fccid=809941c6e8c5262b&vjs=3
Backend Engineer,Brick Abode,Home office,https://br.indeed.com/rc/clk?jk=bbe86cad36d25e59&fccid=106566e4d12a08ba&vjs=3
Desenvolvedor Pleno (Python) (Soluções),Imagem Geosistemas,Home office,https://br.indeed.com/rc/clk?jk=855fd80e69f27df9&fccid=c6440c0bc4677975&vjs=3
Cientista de Dados Sênior,Smarthis,Home office,https://br.indeed.com/rc/clk?jk=9c06448df10dad87&fccid=cc329f517c8c97d4&vjs=3
Analista de Indicadores de Pessoas Pleno,Oi,Home office,https://br.indeed.com/rc/clk?jk=419a6abcfc2c238b&fccid=5608797143773fd8&vjs=3
Pessoa Desenvolvedora Backend lll Python (Venda Direta) - Vaga Afirmativa para Talentos Diversos,Grupo Boticário,Home office,https://br.indeed.com/rc/clk?jk=a3c60181be192c57&fccid=89d5d4cca0999596&vjs=3
Analista de BI,Stormx,Home office,https://br.indeed.com/rc/clk?jk=8f14b641063dfc5f&fccid=56108a6cd6c9d956&vjs=3
Analista de Validação de Modelos de Riscos Júnior (Vaga afirmativa para mulheres e pessoas pretas),Itaú Unibanco,Home office,https://br.indeed.com/rc/clk?jk=346f73d453bd0f05&fccid=df3b23afae2f3514&vjs=3
[Squad] Desenvolvedor(a) SR | Python,Objective (Brazil),Home office,https://br.indeed.com/rc/clk?jk=815b9b5870a4845b&fccid=cf30ca4c0e3b06c5&vjs=3
ESTAGIÁRIO(A) DE PLANEJAMENTO ESTRATÉGICO,B. GROB do Brasil S.A.,Home office,https://br.indeed.com/rc/clk?jk=ed0aa78108683364&fccid=bafe77c44a4439ff&vjs=3
Analista de BI Sênior,Framework Digital,Home office,https://br.indeed.com/rc/clk?jk=2074a8efe71cb09d&fccid=d0596844a46a8563&vjs=3
Cientista de Dados,Dell Technologies,Home office,https://br.indeed.com/rc/clk?jk=f11da9da074262cc&fccid=dd09fe3b43125016&vjs=3
ANALISTA DE DADOS JÚNIOR,DYNAMOX,,https://br.indeed.com/rc/clk?jk=a5c1ba0155aa88ff&fccid=91295c637a1951c6&vjs=3
Programador python,CAVOK AVIAÇÃO,,https://br.indeed.com/rc/clk?jk=dbdaeeffc3fb3ca1&fccid=ea666f11ce6a4f11&vjs=3
